customer_id,purchase_date,purchase_amount,last_purchase_date,interaction_count,CLV
1,2022-08-28,493.9,2024-01-19,36,3622.98
1,2022-12-19,252.92,2024-01-19,17,3622.98
1,2022-12-26,376.67,2024-01-19,32,3622.98
1,2023-05-28,173.78,2024-01-19,34,3622.98
1,2023-02-07,278.6,2024-01-19,27,3622.98
1,2023-08-06,215.77,2024-01-19,9,3622.98
1,2022-08-19,422.48,2024-01-19,36,3622.98
1,2024-01-09,483.61,2024-01-19,8,3622.98
1,2022-12-21,276.88,2024-01-19,3,3622.98
1,2023-06-26,109.52,2024-01-19,32,3622.98
1,2022-08-11,220.97,2024-01-19,7,3622.98
1,2022-06-26,317.88,2024-01-19,30,3622.98
2,2022-11-06,263.62,2023-11-02,38,565.44
2,2022-07-10,196.48,2023-11-02,47,565.44
2,2023-05-01,105.34,2023-11-02,39,565.44
3,2023-01-21,375.13,2023-07-08,43,375.13
4,2023-07-11,338.47,2024-06-10,3,3870.31
4,2023-09-23,15.99,2024-06-10,17,3870.31
4,2022-09-12,366.45,2024-06-10,31,3870.31
4,2023-08-30,213.98,2024-06-10,31,3870.31
4,2024-01-28,199.16,2024-06-10,29,3870.31
4,2022-09-04,95.11,2024-06-10,17,3870.31
4,2024-01-14,360.15,2024-06-10,15,3870.31
4,2023-06-04,170.87,2024-06-10,34,3870.31
4,2023-02-23,433.48,2024-06-10,2,3870.31
4,2022-07-06,223.77,2024-06-10,22,3870.31
4,2024-04-18,11.86,2024-06-10,1,3870.31
4,2023-12-16,126.69,2024-06-10,46,3870.31
4,2023-09-04,239.82,2024-06-10,32,3870.31
4,2023-12-13,430.09,2024-06-10,22,3870.31
4,2024-02-11,103.5,2024-06-10,50,3870.31
4,2023-12-03,345.99,2024-06-10,28,3870.31
4,2024-01-18,85.23,2024-06-10,36,3870.31
4,2023-08-26,109.7,2024-06-10,9,3870.31
5,2022-09-22,323.29,2023-06-30,29,6016.54
5,2023-03-22,300.1,2023-06-30,37,6016.54
5,2022-11-05,296.24,2023-06-30,4,6016.54
5,2023-02-15,271.26,2023-06-30,32,6016.54
5,2022-09-26,478.68,2023-06-30,4,6016.54
5,2023-05-29,450.91,2023-06-30,31,6016.54
5,2022-07-28,326.26,2023-06-30,19,6016.54
5,2023-04-11,171.25,2023-06-30,22,6016.54
5,2023-04-04,400.62,2023-06-30,15,6016.54
5,2022-11-13,490.68,2023-06-30,16,6016.54
5,2022-10-30,471.18,2023-06-30,50,6016.54
5,2022-10-07,480.85,2023-06-30,5,6016.54
5,2022-11-13,116.5,2023-06-30,41,6016.54
5,2023-06-03,171.82,2023-06-30,46,6016.54
5,2022-09-16,408.02,2023-06-30,16,6016.54
5,2023-04-12,185.83,2023-06-30,43,6016.54
5,2023-02-07,180.76,2023-06-30,49,6016.54
5,2022-07-18,492.29,2023-06-30,45,6016.54
6,2023-08-23,190.22,2024-03-30,47,2330.83
6,2023-08-14,211.91,2024-03-30,14,2330.83
6,2024-02-26,397.94,2024-03-30,3,2330.83
6,2023-07-02,342.3,2024-03-30,4,2330.83
6,2024-01-23,317.11,2024-03-30,41,2330.83
6,2023-03-26,78.72,2024-03-30,30,2330.83
6,2023-06-23,433.5,2024-03-30,17,2330.83
6,2023-04-07,359.13,2024-03-30,19,2330.83
7,2023-08-15,499.34,2024-01-21,28,4235.47
7,2023-03-21,216.1,2024-01-21,31,4235.47
7,2023-06-21,479.07,2024-01-21,34,4235.47
7,2023-11-29,404.47,2024-01-21,3,4235.47
7,2023-09-28,211.55,2024-01-21,34,4235.47
7,2022-12-07,13.14,2024-01-21,7,4235.47
7,2023-04-05,440.34,2024-01-21,20,4235.47
7,2023-02-09,40.3,2024-01-21,12,4235.47
7,2022-12-05,308.86,2024-01-21,13,4235.47
7,2023-04-13,436.59,2024-01-21,22,4235.47
7,2023-06-27,407.54,2024-01-21,10,4235.47
7,2023-04-05,377.18,2024-01-21,50,4235.47
7,2023-11-17,400.99,2024-01-21,6,4235.47
8,2023-12-28,345.15,2024-05-31,41,1362.41
8,2024-02-01,353.21,2024-05-31,1,1362.41
8,2023-06-23,189.98,2024-05-31,41,1362.41
8,2023-11-22,352.31,2024-05-31,33,1362.41
8,2023-04-09,121.76,2024-05-31,14,1362.41
9,2023-01-21,462.33,2024-04-20,16,4042.0
9,2023-01-07,484.04,2024-04-20,20,4042.0
9,2023-09-29,13.8,2024-04-20,33,4042.0
9,2023-11-04,395.66,2024-04-20,38,4042.0
9,2022-09-05,228.21,2024-04-20,3,4042.0
9,2022-09-04,14.93,2024-04-20,36,4042.0
9,2023-07-25,262.52,2024-04-20,20,4042.0
9,2024-04-18,206.44,2024-04-20,13,4042.0
9,2023-05-22,187.01,2024-04-20,38,4042.0
9,2022-11-06,86.02,2024-04-20,24,4042.0
9,2023-08-10,386.27,2024-04-20,39,4042.0
9,2024-03-08,11.91,2024-04-20,41,4042.0
9,2023-03-28,261.22,2024-04-20,22,4042.0
9,2022-10-27,358.77,2024-04-20,1,4042.0
9,2022-11-26,413.22,2024-04-20,38,4042.0
9,2022-08-17,269.65,2024-04-20,44,4042.0
10,2022-07-24,342.12,2023-06-26,1,4697.15
10,2023-03-29,144.39,2023-06-26,29,4697.15
10,2022-11-20,251.87,2023-06-26,32,4697.15
10,2023-01-31,113.06,2023-06-26,48,4697.15
10,2023-01-12,182.13,2023-06-26,49,4697.15
10,2023-05-25,44.78,2023-06-26,10,4697.15
10,2022-11-22,66.67,2023-06-26,2,4697.15
10,2022-11-04,16.09,2023-06-26,42,4697.15
10,2023-06-25,423.14,2023-06-26,17,4697.15
10,2022-07-30,389.76,2023-06-26,7,4697.15
10,2022-08-14,441.06,2023-06-26,17,4697.15
10,2023-02-10,344.95,2023-06-26,43,4697.15
10,2023-03-03,35.01,2023-06-26,17,4697.15
10,2022-10-15,427.42,2023-06-26,16,4697.15
10,2022-09-07,120.67,2023-06-26,0,4697.15
10,2022-11-21,103.3,2023-06-26,19,4697.15
10,2022-08-30,459.84,2023-06-26,46,4697.15
10,2022-09-24,293.91,2023-06-26,1,4697.15
10,2023-01-20,336.94,2023-06-26,47,4697.15
10,2022-07-25,160.04,2023-06-26,4,4697.15
11,2022-12-27,198.78,2023-12-03,49,1374.86
11,2023-02-25,486.74,2023-12-03,34,1374.86
11,2023-04-14,459.2,2023-12-03,39,1374.86
11,2023-02-08,230.14,2023-12-03,36,1374.86
12,2022-12-06,64.38,2023-07-20,50,1964.71
12,2023-04-29,86.54,2023-07-20,30,1964.71
12,2022-09-22,102.13,2023-07-20,6,1964.71
12,2023-01-21,187.22,2023-07-20,46,1964.71
12,2023-03-29,167.76,2023-07-20,34,1964.71
12,2022-10-16,268.05,2023-07-20,7,1964.71
12,2022-11-24,356.93,2023-07-20,49,1964.71
12,2022-10-23,251.33,2023-07-20,1,1964.71
12,2022-12-02,480.37,2023-07-20,9,1964.71
13,2023-07-09,481.27,2024-04-23,46,4190.82
13,2022-08-30,229.49,2024-04-23,2,4190.82
13,2023-02-07,497.55,2024-04-23,14,4190.82
13,2023-04-11,463.86,2024-04-23,3,4190.82
13,2023-09-06,279.03,2024-04-23,34,4190.82
13,2023-06-15,235.85,2024-04-23,43,4190.82
13,2023-06-20,186.76,2024-04-23,18,4190.82
13,2023-10-13,455.39,2024-04-23,44,4190.82
13,2023-06-15,430.08,2024-04-23,24,4190.82
13,2023-11-11,248.11,2024-04-23,22,4190.82
13,2023-07-26,422.76,2024-04-23,24,4190.82
13,2022-11-05,138.03,2024-04-23,19,4190.82
13,2024-04-06,122.64,2024-04-23,35,4190.82
14,2022-07-22,156.99,2024-05-20,4,1528.8700000000001
14,2023-07-14,132.25,2024-05-20,10,1528.8700000000001
14,2022-09-18,141.65,2024-05-20,27,1528.8700000000001
14,2023-03-08,188.22,2024-05-20,27,1528.8700000000001
14,2023-03-26,354.74,2024-05-20,7,1528.8700000000001
14,2023-03-29,490.43,2024-05-20,28,1528.8700000000001
14,2022-12-19,64.59,2024-05-20,22,1528.8700000000001
15,2022-11-25,246.68,2023-08-05,41,2965.83
15,2022-09-29,273.4,2023-08-05,40,2965.83
15,2022-12-02,261.8,2023-08-05,24,2965.83
15,2023-01-25,93.39,2023-08-05,29,2965.83
15,2023-02-16,434.09,2023-08-05,48,2965.83
15,2023-07-29,266.16,2023-08-05,21,2965.83
15,2022-12-02,296.42,2023-08-05,0,2965.83
15,2023-02-17,16.57,2023-08-05,6,2965.83
15,2023-07-28,324.93,2023-08-05,45,2965.83
15,2022-08-24,97.19,2023-08-05,9,2965.83
15,2023-01-12,276.77,2023-08-05,17,2965.83
15,2023-04-13,378.43,2023-08-05,28,2965.83
16,2023-10-28,194.42,2024-01-16,42,1973.36
16,2022-08-01,479.13,2024-01-16,17,1973.36
16,2022-09-17,113.89,2024-01-16,2,1973.36
16,2023-10-08,81.81,2024-01-16,30,1973.36
16,2023-09-14,103.82,2024-01-16,15,1973.36
16,2022-07-05,50.21,2024-01-16,11,1973.36
16,2022-12-16,202.93,2024-01-16,12,1973.36
16,2022-07-16,197.59,2024-01-16,27,1973.36
16,2023-05-27,157.69,2024-01-16,25,1973.36
16,2023-04-30,391.87,2024-01-16,48,1973.36
17,2024-03-02,371.09,2024-05-06,2,371.09
18,2022-09-21,66.26,2024-04-09,36,3219.45
18,2024-03-08,162.82,2024-04-09,33,3219.45
18,2022-07-10,439.38,2024-04-09,10,3219.45
18,2024-01-06,39.9,2024-04-09,28,3219.45
18,2022-07-14,262.65,2024-04-09,31,3219.45
18,2023-04-04,496.16,2024-04-09,30,3219.45
18,2022-08-04,392.61,2024-04-09,37,3219.45
18,2023-10-27,368.65,2024-04-09,22,3219.45
18,2023-10-01,150.47,2024-04-09,19,3219.45
18,2023-07-22,137.96,2024-04-09,50,3219.45
18,2023-10-26,223.34,2024-04-09,45,3219.45
18,2023-06-16,479.25,2024-04-09,47,3219.45
19,2022-10-07,364.52,2024-06-04,31,4312.82
19,2023-05-14,444.33,2024-06-04,7,4312.82
19,2023-09-17,270.06,2024-06-04,31,4312.82
19,2023-07-23,394.71,2024-06-04,24,4312.82
19,2023-11-30,362.31,2024-06-04,2,4312.82
19,2023-01-01,283.97,2024-06-04,13,4312.82
19,2023-03-07,51.88,2024-06-04,42,4312.82
19,2023-10-29,94.72,2024-06-04,38,4312.82
19,2023-01-08,112.04,2024-06-04,27,4312.82
19,2022-07-04,478.29,2024-06-04,10,4312.82
19,2022-08-22,118.62,2024-06-04,1,4312.82
19,2024-03-04,263.55,2024-06-04,21,4312.82
19,2022-11-05,169.28,2024-06-04,17,4312.82
19,2023-02-15,113.44,2024-06-04,2,4312.82
19,2024-02-22,206.07,2024-06-04,49,4312.82
19,2023-01-27,369.45,2024-06-04,23,4312.82
19,2024-01-11,48.9,2024-06-04,23,4312.82
19,2023-03-01,63.05,2024-06-04,50,4312.82
19,2023-05-04,103.63,2024-06-04,10,4312.82
20,2023-01-05,446.34,2024-01-25,7,1653.3899999999999
20,2023-01-16,408.5,2024-01-25,0,1653.3899999999999
20,2024-01-13,484.91,2024-01-25,23,1653.3899999999999
20,2023-03-29,313.64,2024-01-25,6,1653.3899999999999
21,2023-04-30,186.96,2023-10-27,29,562.82
21,2023-01-01,47.63,2023-10-27,29,562.82
21,2023-06-04,328.23,2023-10-27,21,562.82
22,2023-05-19,482.61,2024-04-20,29,1514.15
22,2023-06-25,312.74,2024-04-20,47,1514.15
22,2023-07-08,174.78,2024-04-20,26,1514.15
22,2023-03-04,168.25,2024-04-20,20,1514.15
22,2022-11-11,235.38,2024-04-20,48,1514.15
22,2022-06-22,140.39,2024-04-20,4,1514.15
23,2023-03-20,224.73,2024-01-16,44,5161.97
23,2023-12-12,404.19,2024-01-16,30,5161.97
23,2022-12-06,157.3,2024-01-16,11,5161.97
23,2023-08-28,472.13,2024-01-16,43,5161.97
23,2022-06-26,111.33,2024-01-16,40,5161.97
23,2022-11-21,218.04,2024-01-16,1,5161.97
23,2022-08-21,450.93,2024-01-16,1,5161.97
23,2023-04-09,398.65,2024-01-16,31,5161.97
23,2023-02-13,11.9,2024-01-16,40,5161.97
23,2023-02-20,294.87,2024-01-16,23,5161.97
23,2022-10-03,411.77,2024-01-16,26,5161.97
23,2022-10-26,219.05,2024-01-16,26,5161.97
23,2023-09-09,168.71,2024-01-16,9,5161.97
23,2023-05-14,323.95,2024-01-16,26,5161.97
23,2022-12-25,352.32,2024-01-16,24,5161.97
23,2022-07-11,430.66,2024-01-16,3,5161.97
23,2023-11-21,243.66,2024-01-16,21,5161.97
23,2022-08-16,267.78,2024-01-16,36,5161.97
24,2022-10-04,169.89,2024-01-09,42,901.47
24,2023-08-24,423.08,2024-01-09,36,901.47
24,2023-03-07,182.74,2024-01-09,41,901.47
24,2023-05-05,57.09,2024-01-09,16,901.47
